fund_id,nav,aum_in_cr,expense_ratio,1yr_return,3yr_return,5yr_return
1,291.65,8763.39,2.77,32.78,12.59,4.87
2,458.68,14563.57,0.76,-6.21,-4.89,6.17
3,231.4,12992.34,1.11,5.24,-0.34,3.64
4,182.03,10548.03,2.44,6.38,24.95,20.03
5,76.75,30745.61,0.69,36.24,21.19,12.02
6,87.27,21620.05,1.66,22.76,23.34,17.98
7,16.83,10532.31,0.5,24.23,28.22,12.76
8,290.58,34830.5,1.12,28.0,24.31,24.61
9,37.32,43928.31,1.84,8.83,9.97,0.42
10,221.21,13252.18,2.51,0.81,15.02,19.77
11,192.46,25981.22,2.01,-1.14,4.5,11.56
12,208.11,17743.25,1.74,33.93,16.36,23.05
13,433.91,43028.87,2.63,33.83,26.07,21.63
14,491.84,586.13,0.87,3.19,13.63,12.38
15,405.98,13533.79,1.8,39.17,9.68,10.16
16,22.93,14425.93,2.7,37.17,8.25,18.81
17,275.6,5104.32,1.0,-2.55,-0.75,23.32
18,259.02,20042.58,2.32,39.44,27.12,22.34
19,215.3,33079.11,2.4,-9.54,14.92,21.61
20,244.24,41331.4,1.11,20.6,24.29,4.68
21,490.75,42684.29,2.69,20.16,3.86,18.31
22,423.57,46850.43,2.84,28.8,11.83,5.92
23,416.3,45075.21,2.07,-8.82,-2.89,19.78
24,93.62,13746.87,1.01,35.01,23.85,24.03
25,198.72,45197.13,1.45,2.03,-4.97,2.07
26,65.99,40942.02,1.95,-3.1,25.77,21.58
27,34.68,1280.81,1.01,10.52,11.09,17.27
28,228.01,48735.17,1.53,1.95,14.72,14.55
29,301.89,13735.02,2.02,9.37,18.43,24.91
30,295.17,13484.18,1.14,-2.39,28.03,3.54
31,255.86,17158.53,1.72,-3.94,24.93,11.27
32,103.53,15753.06,1.02,0.23,18.64,10.16
33,193.33,25234.69,1.92,-5.67,0.46,21.7
34,277.69,5955.42,2.19,16.11,13.42,16.41
35,273.16,38239.16,2.82,4.98,24.07,18.25
36,349.92,34386.9,2.92,39.77,-3.01,10.2
37,320.67,24210.28,2.21,1.55,6.97,15.25
38,225.3,43586.98,0.85,13.91,-3.02,1.52
39,491.28,2352.94,1.51,30.14,-4.21,1.75
