fund_id,fund_name,amc_id,category_id,risk_rating_id,benchmark_id,inception_date
1,Fund 196,5,1,4,5,2004-05-13
2,Fund 190,6,5,3,1,1999-07-21
3,Fund 173,1,5,4,4,2015-12-09
4,Fund 149,6,4,3,3,1992-06-26
5,Fund 21,5,2,3,2,2001-08-10
6,Fund 51,8,2,3,5,1994-04-18
7,Fund 86,5,1,3,2,2020-08-21
8,Fund 77,4,3,2,5,2018-08-14
9,Fund 12,8,5,3,5,2014-03-07
10,Fund 4,7,5,1,3,2000-11-08
11,Fund 117,2,4,3,4,1996-04-22
12,Fund 63,6,4,2,3,2003-01-18
13,Fund 24,3,5,1,1,2006-09-28
14,Fund 191,4,5,3,2,2014-07-25
15,Fund 150,7,3,2,5,2018-11-19
16,Fund 68,6,6,1,5,2018-03-02
17,Fund 102,8,1,2,2,2006-03-13
18,Fund 41,3,6,2,1,2013-02-18
19,Fund 115,3,2,3,1,2022-08-23
20,Fund 93,5,3,1,4,2008-11-08
21,Fund 68,8,4,1,1,1990-12-07
22,Fund 130,5,3,3,3,2010-03-09
23,Fund 13,8,6,4,2,2012-06-14
24,Fund 149,7,3,1,5,2014-08-04
25,Fund 32,5,1,1,3,1998-07-09
26,Fund 56,4,3,3,1,2018-03-08
27,Fund 108,1,4,1,1,1992-02-27
28,Fund 73,3,2,3,5,2001-04-24
29,Fund 175,6,5,1,2,2016-11-17
30,Fund 36,5,4,1,4,1998-05-22
31,Fund 175,4,1,1,5,1997-10-23
32,Fund 10,3,2,2,2,2010-11-07
33,Fund 89,3,2,1,3,2021-10-09
34,Fund 78,1,3,1,1,2011-05-17
35,Fund 16,6,6,4,2,1990-08-11
36,Fund 69,3,1,4,2,2020-01-02
37,Fund 173,6,5,4,4,1996-10-02
38,Fund 149,6,3,3,5,2004-09-15
39,Fund 25,1,6,4,2,2014-10-17
40,Fund 104,2,2,2,3,1993-01-20
41,Fund 44,6,6,4,3,2012-11-26
42,Fund 8,5,5,3,3,2004-07-06
43,Fund 108,5,4,1,1,2012-04-19
44,Fund 184,3,5,2,2,2007-11-10
45,Fund 128,5,6,2,1,2004-07-26
46,Fund 25,4,4,2,4,1995-12-05
47,Fund 146,6,5,2,3,2013-04-28
48,Fund 122,6,1,4,2,2004-01-01
49,Fund 58,8,6,3,4,2006-03-26
50,Fund 193,1,2,4,4,2022-04-06
51,Fund 171,5,1,1,3,2005-03-16
52,Fund 19,1,3,2,1,2001-05-06
53,Fund 191,6,3,1,3,2000-02-16
54,Fund 160,2,3,1,5,2016-10-24
55,Fund 169,2,3,2,1,2017-05-04
